1
popSize bias beta 
4 0.2 0.2
200 0.592821 -0.592821  -0.0324781 0.103403
210 0.592821 -0.592821  -0.0324781 0.103403
220 0.592821 -0.592821  -0.0324781 0.103403
230 0.592821 -0.592821  -0.0324781 0.103403
240 0.592821 -0.592821  -0.0324781 0.103403
250 0.592821 -0.592821  -0.0324781 0.103403
260 0.592821 -0.592821  -0.0324781 0.103403
270 0.592821 -0.592821  -0.0324781 0.103403
280 0.592821 -0.592821  -0.0324781 0.103403
290 0.592821 -0.592821  -0.0324781 0.103403
300 0.592821 -0.592821  -0.0324781 0.103403
310 0.592821 -0.592821  -0.0324781 0.103403
320 0.592821 -0.592821  -0.0324781 0.103403
330 0.592821 -0.592821  -0.0324781 0.103403
340 0.592821 -0.592821  -0.0324781 0.103403
350 0.592821 -0.592821  -0.0324781 0.103403
360 0.592821 -0.592821  -0.0324781 0.103403
370 0.592821 -0.592821  -0.0324781 0.103403
380 0.592821 -0.592821  -0.0324781 0.103403
390 0.592821 -0.592821  -0.0324781 0.103403
400 0.592821 -0.592821  -0.0324781 0.103403
410 0.592821 -0.592821  -0.0324781 0.103403
420 0.592821 -0.592821  -0.0324781 0.103403
430 0.592821 -0.592821  -0.0324781 0.103403
440 0.592821 -0.592821  -0.0324781 0.103403
450 0.592821 -0.592821  -0.0324781 0.103403
460 0.592821 -0.592821  -0.0324781 0.103403
470 0.592821 -0.592821  -0.0324781 0.103403
480 0.592821 -0.592821  -0.0324781 0.103403
490 0.592821 -0.592821  -0.0324781 0.103403
500 0.592821 -0.592821  -0.0324781 0.103403
10 0.356349 -0.356349  -0.0424399 0.0618421
20 0.356349 -0.356349  -0.0424399 0.0618421
30 0.356349 -0.356349  -0.0424399 0.0618421
40 0.356349 -0.356349  -0.0424399 0.0618421
50 0.356349 -0.356349  -0.0424399 0.0618421
60 0.356349 -0.356349  -0.0424399 0.0618421
70 0.356349 -0.356349  -0.0424399 0.0618421
80 0.356349 -0.356349  -0.0424399 0.0618421
90 0.356349 -0.356349  -0.0424399 0.0618421
100 0.356349 -0.356349  -0.0424399 0.0618421
110 0.356349 -0.356349  -0.0424399 0.0618421
120 0.356349 -0.356349  -0.0424399 0.0618421
130 0.356349 -0.356349  -0.0424399 0.0618421
140 0.356349 -0.356349  -0.0424399 0.0618421
150 0.356349 -0.356349  -0.0424399 0.0618421
160 0.356349 -0.356349  -0.0424399 0.0618421
