1
popSize bias beta 
4 0.2 0.2
420 -18.6655 -0.542972  -8.26877 -9.75205
430 -18.6655 -0.542972  -8.26877 -9.75205
440 -18.6655 -0.542972  -8.26877 -9.75205
450 -18.6655 -0.542972  -8.26877 -9.75205
460 -18.6655 -0.542972  -8.26877 -9.75205
470 -18.6655 -0.542972  -8.26877 -9.75205
480 -18.6655 -0.542972  -8.26877 -9.75205
490 -18.6655 -0.542972  -8.26877 -9.75205
500 -18.6655 -0.542972  -8.26877 -9.75205
10 -7.48725 -11.7212  -5.64613 -9.63891
20 -7.5212 -11.6873  -1.91333 -9.48265
30 -15.1545 -4.05402  -9.9695 9.46928
40 -17.3221 -1.88637  -7.64764 9.46928
50 -17.3221 -1.88637  -7.64764 9.46928
60 -17.3221 -1.88637  -7.64764 9.46928
70 -17.3221 -1.88637  -7.64764 9.46928
80 -19.061 -0.147463  -8.15957 -9.72483
90 -19.061 -0.147463  -8.15957 -9.72483
100 -19.061 -0.147463  -8.15957 -9.72483
110 -19.061 -0.147463  -8.15957 -9.72483
120 -19.061 -0.147463  -8.15957 -9.72483
130 -19.061 -0.147463  -8.15957 -9.72483
140 -19.061 -0.147463  -8.15957 -9.72483
150 -19.061 -0.147463  -8.15957 -9.72483
160 -19.061 -0.147463  -8.15957 -9.72483
170 -19.061 -0.147463  -8.15957 -9.72483
180 -19.061 -0.147463  -8.15957 -9.72483
190 -19.061 -0.147463  -8.15957 -9.72483
200 -19.061 -0.147463  -8.15957 -9.72483
210 -19.061 -0.147463  -8.15957 -9.72483
220 -19.061 -0.147463  -8.15957 -9.72483
230 -19.061 -0.147463  -8.15957 -9.72483
240 -19.061 -0.147463  -8.15957 -9.72483
250 -19.061 -0.147463  -8.15957 -9.72483
260 -19.061 -0.147463  -8.15957 -9.72483
270 -19.061 -0.147463  -8.15957 -9.72483
280 -19.061 -0.147463  -8.15957 -9.72483
290 -19.061 -0.147463  -8.15957 -9.72483
300 -19.061 -0.147463  -8.15957 -9.72483
310 -19.061 -0.147463  -8.15957 -9.72483
320 -19.061 -0.147463  -8.15957 -9.72483
330 -19.061 -0.147463  -8.15957 -9.72483
340 -19.061 -0.147463  -8.15957 -9.72483
350 -19.061 -0.147463  -8.15957 -9.72483
360 -19.061 -0.147463  -8.15957 -9.72483
370 -19.061 -0.147463  -8.15957 -9.72483
380 -19.061 -0.147463  -8.15957 -9.72483
390 -19.061 -0.147463  -8.15957 -9.72483
400 -19.061 -0.147463  -8.15957 -9.72483
410 -19.061 -0.147463  -8.15957 -9.72483
420 -19.061 -0.147463  -8.15957 -9.72483
430 -19.061 -0.147463  -8.15957 -9.72483
440 -19.061 -0.147463  -8.15957 -9.72483
450 -19.061 -0.147463  -8.15957 -9.72483
460 -19.061 -0.147463  -8.15957 -9.72483
470 -19.061 -0.147463  -8.15957 -9.72483
480 -19.061 -0.147463  -8.15957 -9.72483
490 -19.061 -0.147463  -8.15957 -9.72483
500 -19.061 -0.147463  -8.15957 -9.72483
10 -6.23477 -12.9737  8.82078 -6.82404
20 -7.25703 -11.9515  -1.92342 9.37611
30 -16.3337 -2.87481  8.5813 9.66274
40 -16.3337 -2.87481  8.5813 9.66274
50 -16.3337 -2.87481  8.5813 9.66274
60 -16.3337 -2.87481  8.5813 9.66274
70 -16.3337 -2.87481  8.5813 9.66274
80 -16.3337 -2.87481  8.5813 9.66274
90 -16.3337 -2.87481  8.5813 9.66274
100 -16.3337 -2.87481  8.5813 9.66274
110 -16.3337 -2.87481  8.5813 9.66274
120 -16.3337 -2.87481  8.5813 9.66274
130 -16.3337 -2.87481  8.5813 9.66274
140 -16.3337 -2.87481  8.5813 9.66274
150 -16.3337 -2.87481  8.5813 9.66274
160 -16.3337 -2.87481  8.5813 9.66274
170 -16.3337 -2.87481  8.5813 9.66274
180 -16.3337 -2.87481  8.5813 9.66274
190 -16.3337 -2.87481  8.5813 9.66274
200 -16.3337 -2.87481  8.5813 9.66274
210 -16.3337 -2.87481  8.5813 9.66274
220 -18.5566 -0.651872  7.79252 9.66274
230 -18.5566 -0.651872  7.79252 9.66274
240 -18.5566 -0.651872  7.79252 9.66274
250 -18.5566 -0.651872  7.79252 9.66274
260 -18.5566 -0.651872  7.79252 9.66274
270 -18.5566 -0.651872  7.79252 9.66274
280 -18.5566 -0.651872  7.79252 9.66274
290 -18.5566 -0.651872  7.79252 9.66274
300 -18.5566 -0.651872  7.79252 9.66274
310 -18.5566 -0.651872  7.79252 9.66274
320 -18.5566 -0.651872  7.79252 9.66274
330 -18.5566 -0.651872  7.79252 9.66274
340 -18.5566 -0.651872  7.79252 9.66274
350 -18.5566 -0.651872  7.79252 9.66274
360 -18.5566 -0.651872  7.79252 9.66274
370 -18.5566 -0.651872  7.79252 9.66274
380 -18.5566 -0.651872  7.79252 9.66274
390 -18.5566 -0.651872  7.79252 9.66274
400 -18.5566 -0.651872  7.79252 9.66274
410 -18.5566 -0.651872  7.79252 9.66274
420 -18.5566 -0.651872  7.79252 9.66274
430 -18.5566 -0.651872  7.79252 9.66274
440 -18.5566 -0.651872  7.79252 9.66274
450 -18.5566 -0.651872  7.79252 9.66274
460 -18.5566 -0.651872  7.79252 9.66274
470 -18.5566 -0.651872  7.79252 9.66274
480 -18.5566 -0.651872  7.79252 9.66274
490 -18.5566 -0.651872  7.79252 9.66274
500 -18.5566 -0.651872  7.79252 9.66274
10 -13.9415 -5.26699  7.95736 8.88139
20 -13.9415 -5.26699  7.95736 8.88139
30 -13.9415 -5.26699  7.95736 8.88139
40 -17.8651 -1.34341  7.95736 9.29999
50 -17.8651 -1.34341  7.95736 9.29999
60 -17.8651 -1.34341  7.95736 9.29999
70 -17.8651 -1.34341  7.95736 9.29999
80 -17.8651 -1.34341  7.95736 9.29999
90 -17.8651 -1.34341  7.95736 9.29999
100 -17.8651 -1.34341  7.95736 9.29999
110 -17.8651 -1.34341  7.95736 9.29999
120 -17.8651 -1.34341  7.95736 9.29999
130 -17.8651 -1.34341  7.95736 9.29999
140 -17.8651 -1.34341  7.95736 9.29999
150 -17.8651 -1.34341  7.95736 9.29999
160 -17.8651 -1.34341  7.95736 9.29999
170 -17.8651 -1.34341  7.95736 9.29999
180 -17.8651 -1.34341  7.95736 9.29999
190 -17.8651 -1.34341  7.95736 9.29999
200 -17.8651 -1.34341  7.95736 9.29999
210 -17.8651 -1.34341  7.95736 9.29999
220 -17.8651 -1.34341  7.95736 9.29999
230 -17.8651 -1.34341  7.95736 9.29999
240 -17.8651 -1.34341  7.95736 9.29999
250 -17.8651 -1.34341  7.95736 9.29999
260 -17.8651 -1.34341  7.95736 9.29999
270 -17.8651 -1.34341  7.95736 9.29999
280 -17.8651 -1.34341  7.95736 9.29999
290 -17.8651 -1.34341  7.95736 9.29999
300 -17.8651 -1.34341  7.95736 9.29999
310 -17.8651 -1.34341  7.95736 9.29999
320 -17.8651 -1.34341  7.95736 9.29999
330 -17.8651 -1.34341  7.95736 9.29999
340 -17.8651 -1.34341  7.95736 9.29999
350 -17.8651 -1.34341  7.95736 9.29999
360 -17.8651 -1.34341  7.95736 9.29999
370 -17.8651 -1.34341  7.95736 9.29999
380 -17.8651 -1.34341  7.95736 9.29999
390 -17.8651 -1.34341  7.95736 9.29999
400 -17.8651 -1.34341  7.95736 9.29999
410 -17.8651 -1.34341  7.95736 9.29999
420 -17.8651 -1.34341  7.95736 9.29999
430 -17.8651 -1.34341  7.95736 9.29999
440 -17.8651 -1.34341  7.95736 9.29999
450 -17.8651 -1.34341  7.95736 9.29999
460 -17.8651 -1.34341  7.95736 9.29999
470 -17.8651 -1.34341  7.95736 9.29999
480 -17.8651 -1.34341  7.95736 9.29999
490 -17.8651 -1.34341  7.95736 9.29999
500 -17.8651 -1.34341  7.95736 9.29999
10 -15.9763 -3.23215  8.6126 -9.66011
20 -17.6441 -1.56442  -8.39951 9.4648
30 -17.6441 -1.56442  -8.39951 9.4648
40 -17.6441 -1.56442  -8.39951 9.4648
50 -17.6441 -1.56442  -8.39951 9.4648
60 -17.6441 -1.56442  -8.39951 9.4648
70 -17.6441 -1.56442  -8.39951 9.4648
80 -17.6441 -1.56442  -8.39951 9.4648
90 -17.6441 -1.56442  -8.39951 9.4648
100 -17.6441 -1.56442  -8.39951 9.4648
110 -17.6441 -1.56442  -8.39951 9.4648
120 -17.6441 -1.56442  -8.39951 9.4648
130 -17.6441 -1.56442  -8.39951 9.4648
140 -17.6441 -1.56442  -8.39951 9.4648
