1
popSize bias beta 
4 0.2 0.2
40 -3.16072 -1.09317  -0.597779 1.64394
50 -3.16072 -1.09317  -0.597779 1.64394
60 -3.16072 -1.09317  -0.597779 1.64394
70 -3.16072 -1.09317  -0.597779 1.64394
80 -3.16072 -1.09317  -0.597779 1.64394
90 -3.16072 -1.09317  -0.597779 1.64394
100 -3.16072 -1.09317  -0.597779 1.64394
110 -3.16072 -1.09317  -0.597779 1.64394
120 -3.54756 -0.706325  1.08398 1.64207
130 -3.54756 -0.706325  1.08398 1.64207
140 -3.54756 -0.706325  1.08398 1.64207
150 -3.54756 -0.706325  1.08398 1.64207
160 -3.54756 -0.706325  1.08398 1.64207
170 -3.54756 -0.706325  1.08398 1.64207
180 -3.54756 -0.706325  1.08398 1.64207
190 -3.54756 -0.706325  1.08398 1.64207
200 -3.54756 -0.706325  1.08398 1.64207
210 -3.54756 -0.706325  1.08398 1.64207
220 -3.54756 -0.706325  1.08398 1.64207
230 -3.54756 -0.706325  1.08398 1.64207
240 -3.54756 -0.706325  1.08398 1.64207
250 -3.54756 -0.706325  1.08398 1.64207
260 -3.54756 -0.706325  1.08398 1.64207
270 -3.54756 -0.706325  1.08398 1.64207
280 -3.54756 -0.706325  1.08398 1.64207
290 -3.54756 -0.706325  1.08398 1.64207
300 -3.54756 -0.706325  1.08398 1.64207
310 -3.54756 -0.706325  1.08398 1.64207
320 -3.54756 -0.706325  1.08398 1.64207
330 -3.54756 -0.706325  1.08398 1.64207
340 -3.54756 -0.706325  1.08398 1.64207
350 -3.54756 -0.706325  1.08398 1.64207
360 -3.54756 -0.706325  1.08398 1.64207
370 -3.65023 -0.603658  -1.62219 -1.09687
380 -3.65023 -0.603658  -1.62219 -1.09687
390 -3.65023 -0.603658  -1.62219 -1.09687
400 -3.65023 -0.603658  -1.62219 -1.09687
410 -3.65023 -0.603658  -1.62219 -1.09687
420 -3.65023 -0.603658  -1.62219 -1.09687
430 -3.65023 -0.603658  -1.62219 -1.09687
440 -3.65023 -0.603658  -1.62219 -1.09687
450 -3.65023 -0.603658  -1.62219 -1.09687
460 -3.65023 -0.603658  -1.62219 -1.09687
470 -3.65023 -0.603658  -1.62219 -1.09687
480 -3.65023 -0.603658  -1.62219 -1.09687
490 -3.65023 -0.603658  -1.62219 -1.09687
500 -3.65023 -0.603658  -1.62219 -1.09687
10 -2.19509 -2.0588  1.11918 0.0881695
20 -2.70397 -1.54992  1.63268 0.0881695
30 -2.70397 -1.54992  1.63268 0.0881695
40 -2.70397 -1.54992  1.63268 0.0881695
50 -2.70397 -1.54992  1.63268 0.0881695
60 -3.25448 -0.999409  1.17495 1.67928
70 -3.25448 -0.999409  1.17495 1.67928
80 -3.52316 -0.730731  1.67132 1.13351
90 -3.69965 -0.554236  1.67132 1.67928
100 -3.69965 -0.554236  1.67132 1.67928
110 -3.69965 -0.554236  1.67132 1.67928
120 -3.69965 -0.554236  1.67132 1.67928
130 -3.69965 -0.554236  1.67132 1.67928
140 -3.69965 -0.554236  1.67132 1.67928
150 -3.69965 -0.554236  1.67132 1.67928
160 -3.69965 -0.554236  1.67132 1.67928
170 -3.69965 -0.554236  1.67132 1.67928
180 -3.69965 -0.554236  1.67132 1.67928
190 -3.69965 -0.554236  1.67132 1.67928
200 -3.69965 -0.554236  1.67132 1.67928
210 -3.69965 -0.554236  1.67132 1.67928
220 -3.69965 -0.554236  1.67132 1.67928
230 -3.69965 -0.554236  1.67132 1.67928
240 -3.69965 -0.554236  1.67132 1.67928
250 -3.69965 -0.554236  1.67132 1.67928
260 -3.69965 -0.554236  1.67132 1.67928
270 -3.69965 -0.554236  1.67132 1.67928
280 -3.69965 -0.554236  1.67132 1.67928
290 -3.69965 -0.554236  1.67132 1.67928
300 -3.69965 -0.554236  1.67132 1.67928
310 -3.69965 -0.554236  1.67132 1.67928
320 -3.69965 -0.554236  1.67132 1.67928
330 -3.69965 -0.554236  1.67132 1.67928
340 -3.69965 -0.554236  1.67132 1.67928
350 -3.69965 -0.554236  1.67132 1.67928
360 -3.69965 -0.554236  1.67132 1.67928
370 -3.69965 -0.554236  1.67132 1.67928
380 -3.69965 -0.554236  1.67132 1.67928
390 -3.69965 -0.554236  1.67132 1.67928
400 -3.69965 -0.554236  1.67132 1.67928
410 -3.69965 -0.554236  1.67132 1.67928
420 -3.69965 -0.554236  1.67132 1.67928
430 -3.69965 -0.554236  1.67132 1.67928
440 -3.69965 -0.554236  1.67132 1.67928
450 -3.69965 -0.554236  1.67132 1.67928
460 -3.69965 -0.554236  1.67132 1.67928
470 -3.69965 -0.554236  1.67132 1.67928
480 -3.69965 -0.554236  1.67132 1.67928
490 -3.69965 -0.554236  1.67132 1.67928
500 -3.69965 -0.554236  1.67132 1.67928
10 -3.38577 -0.868117  -1.11098 1.68019
20 -3.8001 -0.453788  1.59816 1.68019
30 -3.8001 -0.453788  1.59816 1.68019
40 -3.8001 -0.453788  1.59816 1.68019
50 -3.8001 -0.453788  1.59816 1.68019
60 -3.8001 -0.453788  1.59816 1.68019
70 -3.8001 -0.453788  1.59816 1.68019
80 -3.8001 -0.453788  1.59816 1.68019
90 -3.8001 -0.453788  1.59816 1.68019
100 -3.8001 -0.453788  1.59816 1.68019
110 -3.8001 -0.453788  1.59816 1.68019
120 -3.8001 -0.453788  1.59816 1.68019
130 -3.8001 -0.453788  1.59816 1.68019
140 -3.8001 -0.453788  1.59816 1.68019
150 -3.8001 -0.453788  1.59816 1.68019
160 -3.8001 -0.453788  1.59816 1.68019
170 -3.8001 -0.453788  1.59816 1.68019
180 -3.8001 -0.453788  1.59816 1.68019
190 -3.91672 -0.337166  -1.62643 1.68031
200 -3.91672 -0.337166  -1.62643 1.68031
210 -3.91672 -0.337166  -1.62643 1.68031
220 -3.91672 -0.337166  -1.62643 1.68031
230 -3.91672 -0.337166  -1.62643 1.68031
240 -3.91672 -0.337166  -1.62643 1.68031
250 -3.91672 -0.337166  -1.62643 1.68031
260 -3.91672 -0.337166  -1.62643 1.68031
270 -3.91672 -0.337166  -1.62643 1.68031
280 -3.91672 -0.337166  -1.62643 1.68031
290 -3.91672 -0.337166  -1.62643 1.68031
300 -3.91672 -0.337166  -1.62643 1.68031
310 -3.91672 -0.337166  -1.62643 1.68031
320 -3.91672 -0.337166  -1.62643 1.68031
330 -3.91672 -0.337166  -1.62643 1.68031
340 -3.91672 -0.337166  -1.62643 1.68031
350 -3.91672 -0.337166  -1.62643 1.68031
360 -3.91672 -0.337166  -1.62643 1.68031
370 -3.91672 -0.337166  -1.62643 1.68031
380 -3.91672 -0.337166  -1.62643 1.68031
390 -3.91672 -0.337166  -1.62643 1.68031
400 -3.91672 -0.337166  -1.62643 1.68031
410 -3.91672 -0.337166  -1.62643 1.68031
420 -3.91672 -0.337166  -1.62643 1.68031
430 -3.91672 -0.337166  -1.62643 1.68031
440 -3.91672 -0.337166  -1.62643 1.68031
450 -3.91672 -0.337166  -1.62643 1.68031
460 -3.91672 -0.337166  -1.62643 1.68031
470 -3.91672 -0.337166  -1.62643 1.68031
480 -3.91672 -0.337166  -1.62643 1.68031
490 -3.91672 -0.337166  -1.62643 1.68031
500 -3.91672 -0.337166  -1.62643 1.68031
10 -2.72321 -1.53068  -1.14521 0.652051
20 -2.72321 -1.53068  -1.14521 0.652051
30 -2.72321 -1.53068  -1.14521 0.652051
40 -2.72321 -1.53068  -1.14521 0.652051
50 -3.14634 -1.10755  1.60038 0.622287
60 -3.14634 -1.10755  1.60038 0.622287
70 -3.14634 -1.10755  1.60038 0.622287
80 -3.22063 -1.03326  -1.15019 1.13219
90 -3.22063 -1.03326  -1.15019 1.13219
100 -3.22063 -1.03326  -1.15019 1.13219
110 -3.22063 -1.03326  -1.15019 1.13219
120 -3.30362 -0.950274  -1.57848 -1.09014
130 -3.30362 -0.950274  -1.57848 -1.09014
140 -3.30362 -0.950274  -1.57848 -1.09014
150 -3.30362 -0.950274  -1.57848 -1.09014
160 -3.30362 -0.950274  -1.57848 -1.09014
170 -3.65042 -0.60347  1.6189 -1.09816
180 -3.65042 -0.60347  1.6189 -1.09816
190 -3.65042 -0.60347  1.6189 -1.09816
200 -3.65042 -0.60347  1.6189 -1.09816
210 -3.65042 -0.60347  1.6189 -1.09816
220 -3.65042 -0.60347  1.6189 -1.09816
230 -3.65042 -0.60347  1.6189 -1.09816
240 -3.65042 -0.60347  1.6189 -1.09816
250 -3.65042 -0.60347  1.6189 -1.09816
260 -3.65042 -0.60347  1.6189 -1.09816
270 -3.65042 -0.60347  1.6189 -1.09816
280 -3.65042 -0.60347  1.6189 -1.09816
290 -3.65042 -0.60347  1.6189 -1.09816
300 -3.92261 -0.331275  1.67428 -1.65175
310 -3.92261 -0.331275  1.67428 -1.65175
320 -3.92261 -0.331275  1.67428 -1.65175
330 -3.92261 -0.331275  1.67428 -1.65175
340 -3.92261 -0.331275  1.67428 -1.65175
350 -3.92261 -0.331275  1.67428 -1.65175
360 -3.92261 -0.331275  1.67428 -1.65175
370 -3.92261 -0.331275  1.67428 -1.65175
380 -3.92261 -0.331275  1.67428 -1.65175
390 -3.92261 -0.331275  1.67428 -1.65175
400 -3.92261 -0.331275  1.67428 -1.65175
410 -3.92261 -0.331275  1.67428 -1.65175
420 -3.92261 -0.331275  1.67428 -1.65175
430 -3.92261 -0.331275  1.67428 -1.65175
440 -3.92261 -0.331275  1.67428 -1.65175
450 -3.92261 -0.331275  1.67428 -1.65175
460 -3.92261 -0.331275  1.67428 -1.65175
470 -3.92261 -0.331275  1.67428 -1.65175
480 -3.92261 -0.331275  1.67428 -1.65175
490 -3.92261 -0.331275  1.67428 -1.65175
500 -3.92261 -0.331275  1.67428 -1.65175
10 -1.93902 -2.31487  1.07565 0.227415
20 -3.21179 -1.0421  1.71564 -1.59632
30 -4.08939 -0.164501  1.61324 -1.59632
40 -4.08939 -0.164501  1.61324 -1.59632
50 -4.08939 -0.164501  1.61324 -1.59632
60 -4.08939 -0.164501  1.61324 -1.59632
70 -4.08939 -0.164501  1.61324 -1.59632
80 -4.08939 -0.164501  1.61324 -1.59632
90 -4.08939 -0.164501  1.61324 -1.59632
100 -4.08939 -0.164501  1.61324 -1.59632
110 -4.08939 -0.164501  1.61324 -1.59632
120 -4.08939 -0.164501  1.61324 -1.59632
130 -4.08939 -0.164501  1.61324 -1.59632
140 -4.08939 -0.164501  1.61324 -1.59632
150 -4.08939 -0.164501  1.61324 -1.59632
160 -4.08939 -0.164501  1.61324 -1.59632
170 -4.08939 -0.164501  1.61324 -1.59632
180 -4.08939 -0.164501  1.61324 -1.59632
190 -4.08939 -0.164501  1.61324 -1.59632
200 -4.08939 -0.164501  1.61324 -1.59632
210 -4.08939 -0.164501  1.61324 -1.59632
220 -4.08939 -0.164501  1.61324 -1.59632
230 -4.08939 -0.164501  1.61324 -1.59632
240 -4.08939 -0.164501  1.61324 -1.59632
250 -4.08939 -0.164501  1.61324 -1.59632
260 -4.08939 -0.164501  1.61324 -1.59632
270 -4.08939 -0.164501  1.61324 -1.59632
280 -4.08939 -0.164501  1.61324 -1.59632
290 -4.08939 -0.164501  1.61324 -1.59632
300 -4.08939 -0.164501  1.61324 -1.59632
310 -4.08939 -0.164501  1.61324 -1.59632
320 -4.08939 -0.164501  1.61324 -1.59632
330 -4.08939 -0.164501  1.61324 -1.59632
340 -4.08939 -0.164501  1.61324 -1.59632
350 -4.08939 -0.164501  1.61324 -1.59632
360 -4.08939 -0.164501  1.61324 -1.59632
370 -4.08939 -0.164501  1.61324 -1.59632
380 -4.08939 -0.164501  1.61324 -1.59632
390 -4.08939 -0.164501  1.61324 -1.59632
400 -4.08939 -0.164501  1.61324 -1.59632
410 -4.08939 -0.164501  1.61324 -1.59632
420 -4.08939 -0.164501  1.61324 -1.59632
430 -4.08939 -0.164501  1.61324 -1.59632
440 -4.08939 -0.164501  1.61324 -1.59632
450 -4.08939 -0.164501  1.61324 -1.59632
460 -4.08939 -0.164501  1.61324 -1.59632
470 -4.08939 -0.164501  1.61324 -1.59632
480 -4.08939 -0.164501  1.61324 -1.59632
490 -4.08939 -0.164501  1.61324 -1.59632
500 -4.08939 -0.164501  1.61324 -1.59632
10 -2.11804 -2.13585  1.74203 1.08407
20 -2.45432 -1.79957  -1.69148 0.549395
30 -2.91378 -1.34011  1.1422 1.06723
40 -3.35763 -0.896258  1.65172 1.06723
50 -3.35763 -0.896258  1.65172 1.06723
60 -3.35763 -0.896258  1.65172 1.06723
70 -3.35763 -0.896258  1.65172 1.06723
80 -3.35763 -0.896258  1.65172 1.06723
90 -3.35763 -0.896258  1.65172 1.06723
100 -3.35763 -0.896258  1.65172 1.06723
110 -3.35763 -0.896258  1.65172 1.06723
120 -3.35763 -0.896258  1.65172 1.06723
130 -3.35763 -0.896258  1.65172 1.06723
140 -3.35763 -0.896258  1.65172 1.06723
150 -4.12472 -0.129171  1.65247 1.64991
160 -4.12472 -0.129171  1.65247 1.64991
170 -4.12472 -0.129171  1.65247 1.64991
180 -4.12472 -0.129171  1.65247 1.64991
190 -4.12472 -0.129171  1.65247 1.64991
200 -4.12472 -0.129171  1.65247 1.64991
210 -4.12472 -0.129171  1.65247 1.64991
220 -4.12472 -0.129171  1.65247 1.64991
230 -4.12472 -0.129171  1.65247 1.64991
240 -4.12472 -0.129171  1.65247 1.64991
250 -4.12472 -0.129171  1.65247 1.64991
260 -4.12472 -0.129171  1.65247 1.64991
270 -4.12472 -0.129171  1.65247 1.64991
280 -4.12472 -0.129171  1.65247 1.64991
290 -4.12472 -0.129171  1.65247 1.64991
300 -4.12472 -0.129171  1.65247 1.64991
310 -4.12472 -0.129171  1.65247 1.64991
320 -4.12472 -0.129171  1.65247 1.64991
330 -4.12472 -0.129171  1.65247 1.64991
340 -4.12472 -0.129171  1.65247 1.64991
350 -4.12472 -0.129171  1.65247 1.64991
360 -4.12472 -0.129171  1.65247 1.64991
370 -4.12472 -0.129171  1.65247 1.64991
380 -4.12472 -0.129171  1.65247 1.64991
390 -4.12472 -0.129171  1.65247 1.64991
400 -4.12472 -0.129171  1.65247 1.64991
410 -4.12472 -0.129171  1.65247 1.64991
420 -4.12472 -0.129171  1.65247 1.64991
430 -4.12472 -0.129171  1.65247 1.64991
440 -4.12472 -0.129171  1.65247 1.64991
450 -4.12472 -0.129171  1.65247 1.64991
460 -4.12472 -0.129171  1.65247 1.64991
470 -4.12472 -0.129171  1.65247 1.64991
480 -4.12472 -0.129171  1.65247 1.64991
490 -4.12472 -0.129171  1.65247 1.64991
500 -4.12472 -0.129171  1.65247 1.64991
10 -1.75421 -2.49968  -1.58813 -0.824865
20 -3.75438 -0.499507  1.13172 -1.6275
30 -3.75438 -0.499507  1.13172 -1.6275
40 -3.75438 -0.499507  1.13172 -1.6275
50 -3.75438 -0.499507  1.13172 -1.6275
60 -3.75438 -0.499507  1.13172 -1.6275
70 -3.75438 -0.499507  1.13172 -1.6275
80 -3.75438 -0.499507  1.13172 -1.6275
90 -3.75438 -0.499507  1.13172 -1.6275
100 -3.75438 -0.499507  1.13172 -1.6275
110 -3.75438 -0.499507  1.13172 -1.6275
120 -3.75438 -0.499507  1.13172 -1.6275
130 -3.75438 -0.499507  1.13172 -1.6275
140 -3.75438 -0.499507  1.13172 -1.6275
150 -3.75438 -0.499507  1.13172 -1.6275
160 -3.75438 -0.499507  1.13172 -1.6275
170 -3.75438 -0.499507  1.13172 -1.6275
180 -3.75438 -0.499507  1.13172 -1.6275
190 -3.75438 -0.499507  1.13172 -1.6275
200 -3.75438 -0.499507  1.13172 -1.6275
210 -3.98566 -0.268234  -1.66367 -1.59902
220 -4.09789 -0.155999  -1.66367 -1.62773
230 -4.09789 -0.155999  -1.66367 -1.62773
240 -4.09789 -0.155999  -1.66367 -1.62773
250 -4.09789 -0.155999  -1.66367 -1.62773
260 -4.09789 -0.155999  -1.66367 -1.62773
270 -4.09789 -0.155999  -1.66367 -1.62773
280 -4.09789 -0.155999  -1.66367 -1.62773
290 -4.09789 -0.155999  -1.66367 -1.62773
300 -4.09789 -0.155999  -1.66367 -1.62773
310 -4.09789 -0.155999  -1.66367 -1.62773
320 -4.09789 -0.155999  -1.66367 -1.62773
330 -4.09789 -0.155999  -1.66367 -1.62773
340 -4.09789 -0.155999  -1.66367 -1.62773
