popSize bias beta 
4 0.2 0.2
10 10.3128 -10.3128  -0.253209 -3.20136
430 0.0264058 -0.0264058  0.144391 -0.0745464
440 0.0264058 -0.0264058  0.144391 -0.0745464
450 0.0264058 -0.0264058  0.144391 -0.0745464
460 0.0264058 -0.0264058  0.144391 -0.0745464
470 0.0264058 -0.0264058  0.144391 -0.0745464
480 0.0264058 -0.0264058  0.144391 -0.0745464
490 0.0264058 -0.0264058  0.144391 -0.0745464
500 0.0264058 -0.0264058  0.144391 -0.0745464
10 1.50227 -1.50227  0.74105 -0.976274
20 0.95274 -0.95274  0.74105 -0.635283
30 0.95274 -0.95274  0.74105 -0.635283
40 0.95274 -0.95274  0.74105 -0.635283
50 0.95274 -0.95274  0.74105 -0.635283
60 0.95274 -0.95274  0.74105 -0.635283
70 0.95274 -0.95274  0.74105 -0.635283
80 0.95274 -0.95274  0.74105 -0.635283
90 0.95274 -0.95274  0.74105 -0.635283
100 0.95274 -0.95274  0.74105 -0.635283
110 0.95274 -0.95274  0.74105 -0.635283
120 0.95274 -0.95274  0.74105 -0.635283
130 0.95274 -0.95274  0.74105 -0.635283
140 0.95274 -0.95274  0.74105 -0.635283
150 0.95274 -0.95274  0.74105 -0.635283
160 0.95274 -0.95274  0.74105 -0.635283
170 0.95274 -0.95274  0.74105 -0.635283
180 0.290813 -0.290813  -0.505238 0.18854
190 0.126967 -0.126967  0.302357 0.18854
200 0.126967 -0.126967  0.302357 0.18854
210 0.126967 -0.126967  0.302357 0.18854
220 0.126967 -0.126967  0.302357 0.18854
230 0.126967 -0.126967  0.302357 0.18854
240 0.126967 -0.126967  0.302357 0.18854
250 0.126967 -0.126967  0.302357 0.18854
260 0.126967 -0.126967  0.302357 0.18854
270 0.126967 -0.126967  0.302357 0.18854
280 0.126967 -0.126967  0.302357 0.18854
290 0.126967 -0.126967  0.302357 0.18854
300 0.126967 -0.126967  0.302357 0.18854
310 0.126967 -0.126967  0.302357 0.18854
320 0.126967 -0.126967  0.302357 0.18854
330 0.126967 -0.126967  0.302357 0.18854
340 0.126967 -0.126967  0.302357 0.18854
350 0.126967 -0.126967  0.302357 0.18854
360 0.126967 -0.126967  0.302357 0.18854
370 0.126967 -0.126967  0.302357 0.18854
380 0.126967 -0.126967  0.302357 0.18854
390 0.126967 -0.126967  0.302357 0.18854
400 0.126967 -0.126967  0.302357 0.18854
410 0.126967 -0.126967  0.302357 0.18854
420 0.126967 -0.126967  0.302357 0.18854
430 0.126967 -0.126967  0.302357 0.18854
440 0.126967 -0.126967  0.302357 0.18854
450 0.126967 -0.126967  0.302357 0.18854
460 0.126967 -0.126967  0.302357 0.18854
470 0.126967 -0.126967  0.302357 0.18854
480 0.126967 -0.126967  0.302357 0.18854
490 0.126967 -0.126967  0.302357 0.18854
500 0.126967 -0.126967  0.302357 0.18854
10 17.4296 -17.4296  -0.717402 -4.11277
20 0.66865 -0.66865  -0.572915 -0.583453
30 0.66865 -0.66865  -0.572915 -0.583453
40 0.66865 -0.66865  -0.572915 -0.583453
50 0.66865 -0.66865  -0.572915 -0.583453
60 0.66865 -0.66865  -0.572915 -0.583453
70 0.66865 -0.66865  -0.572915 -0.583453
80 0.66865 -0.66865  -0.572915 -0.583453
90 0.66865 -0.66865  -0.572915 -0.583453
100 0.66865 -0.66865  -0.572915 -0.583453
110 0.66865 -0.66865  -0.572915 -0.583453
120 0.66865 -0.66865  -0.572915 -0.583453
130 0.66865 -0.66865  -0.572915 -0.583453
140 0.66865 -0.66865  -0.572915 -0.583453
150 0.66865 -0.66865  -0.572915 -0.583453
160 0.66865 -0.66865  -0.572915 -0.583453
170 0.66865 -0.66865  -0.572915 -0.583453
180 0.66865 -0.66865  -0.572915 -0.583453
190 0.66865 -0.66865  -0.572915 -0.583453
200 0.66865 -0.66865  -0.572915 -0.583453
210 0.66865 -0.66865  -0.572915 -0.583453
220 0.66865 -0.66865  -0.572915 -0.583453
230 0.66865 -0.66865  -0.572915 -0.583453
240 0.66865 -0.66865  -0.572915 -0.583453
250 0.66865 -0.66865  -0.572915 -0.583453
260 0.66865 -0.66865  -0.572915 -0.583453
270 0.0310147 -0.0310147  0.146253 0.0981066
280 0.0310147 -0.0310147  0.146253 0.0981066
290 0.0310147 -0.0310147  0.146253 0.0981066
300 0.0310147 -0.0310147  0.146253 0.0981066
310 0.0310147 -0.0310147  0.146253 0.0981066
320 0.0310147 -0.0310147  0.146253 0.0981066
330 0.0310147 -0.0310147  0.146253 0.0981066
340 0.0310147 -0.0310147  0.146253 0.0981066
350 0.0310147 -0.0310147  0.146253 0.0981066
360 0.0310147 -0.0310147  0.146253 0.0981066
370 0.0310147 -0.0310147  0.146253 0.0981066
380 0.0310147 -0.0310147  0.146253 0.0981066
390 0.0310147 -0.0310147  0.146253 0.0981066
400 0.0310147 -0.0310147  0.146253 0.0981066
410 0.0310147 -0.0310147  0.146253 0.0981066
420 0.0310147 -0.0310147  0.146253 0.0981066
430 0.0310147 -0.0310147  0.146253 0.0981066
