popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
300 -4.7068 -14.5017  8.1232 0.00134822
310 -4.7068 -14.5017  8.1232 0.00134822
320 -4.7068 -14.5017  8.1232 0.00134822
330 -4.7068 -14.5017  8.1232 0.00134822
340 -4.7068 -14.5017  8.1232 0.00134822
350 -4.7068 -14.5017  8.1232 0.00134822
360 -4.7068 -14.5017  8.1232 0.00134822
370 -4.7068 -14.5017  8.1232 0.00134822
380 -4.7068 -14.5017  8.1232 0.00134822
390 -4.7068 -14.5017  8.1232 0.00134822
400 -4.7068 -14.5017  8.1232 0.00134822
410 -4.7068 -14.5017  8.1232 0.00134822
420 -4.7068 -14.5017  8.1232 0.00134822
430 -4.7068 -14.5017  8.1232 0.00134822
440 -4.7068 -14.5017  8.1232 0.00134822
450 -4.7068 -14.5017  8.1232 0.00134822
460 -4.7068 -14.5017  8.1232 0.00134822
470 -4.7068 -14.5017  8.1232 0.00134822
480 -4.7068 -14.5017  8.1232 0.00134822
490 -4.7068 -14.5017  8.1232 0.00134822
500 -4.7068 -14.5017  8.1232 0.00134822
10 -4.71017 -14.4983  -7.60431 -3.56389
20 -8.61066 -10.5978  8.43579 -8.51854
30 -14.2034 -5.00513  8.13529 -8.89994
40 -16.4602 -2.7483  7.98787 -9.11653
50 -16.8132 -2.39533  8.00961 -9.1534
60 -16.8132 -2.39533  8.00961 -9.1534
70 -16.8132 -2.39533  8.00961 -9.1534
80 -18.9347 -0.27383  8.18478 -9.76483
90 -19.0148 -0.193656  8.14932 -9.76496
100 -19.0168 -0.191702  8.14779 -9.76541
110 -19.0168 -0.191702  8.14779 -9.76541
120 -19.0168 -0.191702  8.14779 -9.76541
130 -19.0168 -0.191702  8.14779 -9.76541
140 -19.0168 -0.191702  8.14779 -9.76541
150 -19.1271 -0.0813812  8.14175 -9.68874
160 -19.1909 -0.0176064  8.09581 -9.65354
170 -19.1909 -0.0176064  8.09581 -9.65354
180 -19.1909 -0.0176064  8.09581 -9.65354
190 -19.1909 -0.0176064  8.09581 -9.65354
200 -19.1909 -0.0176064  8.09581 -9.65354
210 -19.1909 -0.0176064  8.09581 -9.65354
220 -19.1909 -0.0176064  8.09581 -9.65354
230 -19.1909 -0.0176064  8.09581 -9.65354
240 -19.1909 -0.0176064  8.09581 -9.65354
250 -19.1909 -0.0176064  8.09581 -9.65354
260 -19.1909 -0.0176064  8.09581 -9.65354
270 -19.1909 -0.0176064  8.09581 -9.65354
280 -19.1909 -0.0176064  8.09581 -9.65354
290 -19.1909 -0.0176064  8.09581 -9.65354
300 -19.1909 -0.0176064  8.09581 -9.65354
310 -19.1909 -0.0176064  8.09581 -9.65354
320 -19.1909 -0.0176064  8.09581 -9.65354
330 -19.1909 -0.0176064  8.09581 -9.65354
340 -19.1909 -0.0176064  8.09581 -9.65354
10 -5.8841 -13.3244  -7.25598 8.44708
20 -5.8841 -13.3244  -7.25598 8.44708
30 -16.8639 -2.34464  -7.74246 9.2672
40 -16.8639 -2.34464  -7.74246 9.2672
50 -18.9737 -0.234754  -7.91023 9.7231
60 -19.2005 -0.00798202  -8.06655 9.63867
70 -19.2043 -0.00422341  -8.05096 9.64453
80 -19.2043 -0.00422341  -8.05096 9.64453
90 -19.2043 -0.00422341  -8.05096 9.64453
100 -19.2043 -0.00422341  -8.05096 9.64453
110 -19.2043 -0.00422341  -8.05096 9.64453
120 -19.2043 -0.00422341  -8.05096 9.64453
130 -19.2043 -0.00422341  -8.05096 9.64453
140 -19.2043 -0.00422341  -8.05096 9.64453
150 -19.2043 -0.00422341  -8.05096 9.64453
160 -19.2043 -0.00422341  -8.05096 9.64453
170 -19.2043 -0.00422341  -8.05096 9.64453
180 -19.2043 -0.00422341  -8.05096 9.64453
190 -19.2043 -0.00422341  -8.05096 9.64453
200 -19.2043 -0.00422341  -8.05096 9.64453
210 -19.2043 -0.00422341  -8.05096 9.64453
220 -19.2043 -0.00422341  -8.05096 9.64453
230 -19.2043 -0.00422341  -8.05096 9.64453
240 -19.2043 -0.00422341  -8.05096 9.64453
250 -19.2043 -0.00422341  -8.05096 9.64453
260 -19.2043 -0.00422341  -8.05096 9.64453
270 -19.2043 -0.00422341  -8.05096 9.64453
280 -19.2043 -0.00422341  -8.05096 9.64453
290 -19.2043 -0.00422341  -8.05096 9.64453
300 -19.2043 -0.00422341  -8.05096 9.64453
310 -19.2043 -0.00422341  -8.05096 9.64453
320 -19.2043 -0.00422341  -8.05096 9.64453
330 -19.2043 -0.00422341  -8.05096 9.64453
340 -19.2043 -0.00422341  -8.05096 9.64453
350 -19.2043 -0.00422341  -8.05096 9.64453
360 -19.2043 -0.00422341  -8.05096 9.64453
10 -17.4207 -1.7878  7.80784 9.30352
20 -17.9496 -1.25885  8.10489 9.30134
30 -18.2064 -1.00212  8.33669 9.51767
40 -18.526 -0.682464  8.18144 9.42947
50 -18.7132 -0.495306  8.19221 9.48485
60 -18.7132 -0.495306  8.19221 9.48485
70 -18.7204 -0.488088  8.18828 9.48391
80 -18.8849 -0.323566  8.0358 9.48373
90 -18.8885 -0.319987  8.04585 9.48384
100 -18.8885 -0.319987  8.04585 9.48384
110 -18.8885 -0.319987  8.04585 9.48384
120 -18.8885 -0.319987  8.04585 9.48384
130 -19.1782 -0.0303175  8.07917 9.61473
140 -19.1782 -0.0303175  8.07917 9.61473
150 -19.1782 -0.0303175  8.07917 9.61473
160 -19.1782 -0.0303175  8.07917 9.61473
170 -19.1782 -0.0303175  8.07917 9.61473
180 -19.1782 -0.0303175  8.07917 9.61473
190 -19.1782 -0.0303175  8.07917 9.61473
200 -19.1782 -0.0303175  8.07917 9.61473
210 -19.1782 -0.0303175  8.07917 9.61473
220 -19.1782 -0.0303175  8.07917 9.61473
230 -19.1782 -0.0303175  8.07917 9.61473
240 -19.1782 -0.0303175  8.07917 9.61473
250 -19.1782 -0.0303175  8.07917 9.61473
260 -19.1782 -0.0303175  8.07917 9.61473
270 -19.1782 -0.0303175  8.07917 9.61473
280 -19.1782 -0.0303175  8.07917 9.61473
290 -19.1782 -0.0303175  8.07917 9.61473
300 -19.1782 -0.0303175  8.07917 9.61473
310 -19.1782 -0.0303175  8.07917 9.61473
320 -19.1782 -0.0303175  8.07917 9.61473
330 -19.1782 -0.0303175  8.07917 9.61473
340 -19.1782 -0.0303175  8.07917 9.61473
350 -19.1782 -0.0303175  8.07917 9.61473
360 -19.1782 -0.0303175  8.07917 9.61473
370 -19.1782 -0.0303175  8.07917 9.61473
10 -3.72548 -15.483  7.00003 5.75148
20 -3.72548 -15.483  7.00003 5.75148
30 -7.13819 -12.0703  7.6282 5.89466
40 -8.77672 -10.4318  8.10375 6.07903
50 -9.50392 -9.70458  8.09702 6.49197
60 -9.50392 -9.70458  8.09702 6.49197
70 -9.50392 -9.70458  8.09702 6.49197
80 -9.50392 -9.70458  8.09702 6.49197
90 -9.50392 -9.70458  8.09702 6.49197
100 -9.50392 -9.70458  8.09702 6.49197
110 -9.50392 -9.70458  8.09702 6.49197
120 -9.50392 -9.70458  8.09702 6.49197
130 -9.50392 -9.70458  8.09702 6.49197
140 -9.50392 -9.70458  8.09702 6.49197
150 -9.50392 -9.70458  8.09702 6.49197
160 -9.50392 -9.70458  8.09702 6.49197
170 -9.50392 -9.70458  8.09702 6.49197
180 -9.50392 -9.70458  8.09702 6.49197
190 -9.50392 -9.70458  8.09702 6.49197
200 -9.50392 -9.70458  8.09702 6.49197
210 -9.50392 -9.70458  8.09702 6.49197
220 -9.50392 -9.70458  8.09702 6.49197
230 -9.50392 -9.70458  8.09702 6.49197
240 -9.50392 -9.70458  8.09702 6.49197
250 -9.50392 -9.70458  8.09702 6.49197
260 -9.50392 -9.70458  8.09702 6.49197
270 -9.50392 -9.70458  8.09702 6.49197
280 -9.50392 -9.70458  8.09702 6.49197
290 -9.50392 -9.70458  8.09702 6.49197
300 -9.50392 -9.70458  8.09702 6.49197
310 -9.50392 -9.70458  8.09702 6.49197
320 -9.50392 -9.70458  8.09702 6.49197
330 -9.50392 -9.70458  8.09702 6.49197
340 -9.50392 -9.70458  8.09702 6.49197
350 -9.50392 -9.70458  8.09702 6.49197
360 -9.50392 -9.70458  8.09702 6.49197
370 -9.50392 -9.70458  8.09702 6.49197
380 -9.50392 -9.70458  8.09702 6.49197
390 -9.50392 -9.70458  8.09702 6.49197
400 -9.50392 -9.70458  8.09702 6.49197
410 -9.50392 -9.70458  8.09702 6.49197
420 -9.50392 -9.70458  8.09702 6.49197
430 -9.50392 -9.70458  8.09702 6.49197
440 -9.50392 -9.70458  8.09702 6.49197
450 -9.50392 -9.70458  8.09702 6.49197
460 -9.50392 -9.70458  8.09702 6.49197
470 -9.50392 -9.70458  8.09702 6.49197
480 -9.50453 -9.70397  8.09292 6.48222
490 -9.50463 -9.70387  8.09445 6.47997
500 -9.50463 -9.70387  8.09445 6.47997
10 -6.22208 -12.9864  -7.07855 -8.6052
20 -10.6405 -8.56796  7.7604 -8.655
30 -13.5479 -5.66058  8.58997 -9.05963
40 -16.5003 -2.70817  8.34323 -9.2007
50 -17.0799 -2.12858  8.18053 -9.19777
60 -19.094 -0.114477  8.05627 -9.55701
70 -19.1356 -0.0728819  8.0398 -9.74792
80 -19.2049 -0.00358741  8.03745 -9.6722
90 -19.2053 -0.00323649  8.03888 -9.67297
100 -19.2053 -0.00323649  8.03888 -9.67297
110 -19.2053 -0.00323649  8.03888 -9.67297
120 -19.2053 -0.00323649  8.03888 -9.67297
130 -19.2053 -0.00323649  8.03888 -9.67297
