popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
450 0.000584742 -0.000584742  -0.0161665 -0.0179829
460 0.000584742 -0.000584742  -0.0161665 -0.0179829
470 0.000584742 -0.000584742  -0.0161665 -0.0179829
480 0.000584742 -0.000584742  -0.0161665 -0.0179829
490 0.000584742 -0.000584742  -0.0161665 -0.0179829
500 0.000584742 -0.000584742  -0.0161665 -0.0179829
10 0.367235 -0.367235  -0.49672 0.347136
20 0.367235 -0.367235  -0.49672 0.347136
30 0.0318987 -0.0318987  0.15 -0.0969474
40 0.00241158 -0.00241158  0.0448718 0.0199524
50 0.00241158 -0.00241158  0.0448718 0.0199524
60 0.00241158 -0.00241158  0.0448718 0.0199524
70 0.00241158 -0.00241158  0.0448718 0.0199524
80 0.00241158 -0.00241158  0.0448718 0.0199524
90 0.00241158 -0.00241158  0.0448718 0.0199524
100 0.00241158 -0.00241158  0.0448718 0.0199524
110 0.00241158 -0.00241158  0.0448718 0.0199524
120 0.00241158 -0.00241158  0.0448718 0.0199524
130 0.00241158 -0.00241158  0.0448718 0.0199524
140 0.00241158 -0.00241158  0.0448718 0.0199524
150 0.00241158 -0.00241158  0.0448718 0.0199524
160 0.00241158 -0.00241158  0.0448718 0.0199524
170 0.00241158 -0.00241158  0.0448718 0.0199524
180 0.00241158 -0.00241158  0.0448718 0.0199524
190 0.00241158 -0.00241158  0.0448718 0.0199524
200 0.00241158 -0.00241158  0.0448718 0.0199524
210 0.00241158 -0.00241158  0.0448718 0.0199524
220 0.00241158 -0.00241158  0.0448718 0.0199524
230 0.00241158 -0.00241158  0.0448718 0.0199524
240 0.00241158 -0.00241158  0.0448718 0.0199524
250 0.00241158 -0.00241158  0.0448718 0.0199524
260 0.00241158 -0.00241158  0.0448718 0.0199524
270 0.00241158 -0.00241158  0.0448718 0.0199524
280 0.00241158 -0.00241158  0.0448718 0.0199524
290 0.00241158 -0.00241158  0.0448718 0.0199524
300 0.00241158 -0.00241158  0.0448718 0.0199524
310 0.00241158 -0.00241158  0.0448718 0.0199524
320 0.00241158 -0.00241158  0.0448718 0.0199524
330 0.00241158 -0.00241158  0.0448718 0.0199524
340 0.00241158 -0.00241158  0.0448718 0.0199524
350 0.00241158 -0.00241158  0.0448718 0.0199524
360 0.00241158 -0.00241158  0.0448718 0.0199524
370 0.00241158 -0.00241158  0.0448718 0.0199524
380 0.00241158 -0.00241158  0.0448718 0.0199524
390 0.00241158 -0.00241158  0.0448718 0.0199524
400 0.00241158 -0.00241158  0.0448718 0.0199524
410 0.00241158 -0.00241158  0.0448718 0.0199524
420 0.00241158 -0.00241158  0.0448718 0.0199524
430 0.00241158 -0.00241158  0.0448718 0.0199524
440 0.00241158 -0.00241158  0.0448718 0.0199524
450 0.00241158 -0.00241158  0.0448718 0.0199524
460 0.00241158 -0.00241158  0.0448718 0.0199524
470 0.00241158 -0.00241158  0.0448718 0.0199524
480 0.00241158 -0.00241158  0.0448718 0.0199524
490 0.00241158 -0.00241158  0.0448718 0.0199524
500 0.00241158 -0.00241158  0.0448718 0.0199524
10 0.364839 -0.364839  -0.107754 -0.59433
20 0.364839 -0.364839  -0.107754 -0.59433
30 0.0606909 -0.0606909  0.242024 0.0459903
40 0.00050364 -0.00050364  -0.00369848 -0.0221351
50 0.00050364 -0.00050364  -0.00369848 -0.0221351
