popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
10 3.7937 -3.7937  0.884906 1.01525
280 0.0328615 -0.0328615  0.0105659 0.000205818
290 0.0328615 -0.0328615  0.0105659 0.000205818
300 0.0328615 -0.0328615  0.0105659 0.000205818
310 0.0328615 -0.0328615  0.0105659 0.000205818
320 0.0328615 -0.0328615  0.0105659 0.000205818
330 0.0328615 -0.0328615  0.0105659 0.000205818
340 0.0128478 -0.0128478  -0.00401079 0.00171782
350 0.00454121 -0.00454121  -0.000736562 0.00140007
360 0.00290498 -0.00290498  0.000655751 0.000777777
370 0.00290498 -0.00290498  0.000655751 0.000777777
380 0.00290498 -0.00290498  0.000655751 0.000777777
390 0.00290498 -0.00290498  0.000655751 0.000777777
400 0.00290498 -0.00290498  0.000655751 0.000777777
410 0.00290498 -0.00290498  0.000655751 0.000777777
420 0.00290498 -0.00290498  0.000655751 0.000777777
430 0.00290498 -0.00290498  0.000655751 0.000777777
440 0.00290498 -0.00290498  0.000655751 0.000777777
450 0.00290498 -0.00290498  0.000655751 0.000777777
460 0.00290498 -0.00290498  0.000655751 0.000777777
470 0.00290498 -0.00290498  0.000655751 0.000777777
480 0.00290498 -0.00290498  0.000655751 0.000777777
490 0.00290498 -0.00290498  0.000655751 0.000777777
500 0.00290498 -0.00290498  0.000655751 0.000777777
10 5.03632 -5.03632  2.02659 -0.0353721
20 2.73718 -2.73718  0.91894 0.0721554
30 2.58752 -2.58752  0.96718 0.00872163
40 2.58265 -2.58265  0.957035 0.00883507
50 2.58265 -2.58265  0.957035 0.00883507
60 2.58265 -2.58265  0.957035 0.00883507
70 2.58265 -2.58265  0.957035 0.00883507
80 2.58265 -2.58265  0.957035 0.00883507
90 2.58265 -2.58265  0.957035 0.00883507
100 2.58265 -2.58265  0.957035 0.00883507
110 2.58265 -2.58265  0.957035 0.00883507
120 2.58265 -2.58265  0.957035 0.00883507
130 2.58265 -2.58265  0.957035 0.00883507
140 2.58265 -2.58265  0.957035 0.00883507
150 2.58265 -2.58265  0.957035 0.00883507
160 2.58265 -2.58265  0.957035 0.00883507
170 2.58265 -2.58265  0.957035 0.00883507
180 2.58265 -2.58265  0.957035 0.00883507
190 2.58265 -2.58265  0.957035 0.00883507
200 2.58265 -2.58265  0.957035 0.00883507
210 2.58265 -2.58265  0.957035 0.00883507
220 2.58265 -2.58265  0.957035 0.00883507
230 2.58265 -2.58265  0.957035 0.00883507
240 2.58265 -2.58265  0.957035 0.00883507
250 2.58265 -2.58265  0.957035 0.00883507
260 2.58265 -2.58265  0.957035 0.00883507
270 2.58265 -2.58265  0.957035 0.00883507
280 2.58265 -2.58265  0.957035 0.00883507
290 2.58265 -2.58265  0.957035 0.00883507
300 2.58265 -2.58265  0.957035 0.00883507
310 2.58265 -2.58265  0.957035 0.00883507
320 2.58265 -2.58265  0.957035 0.00883507
330 2.58265 -2.58265  0.957035 0.00883507
340 2.58265 -2.58265  0.957035 0.00883507
350 2.58265 -2.58265  0.957035 0.00883507
360 2.58265 -2.58265  0.957035 0.00883507
370 2.58265 -2.58265  0.957035 0.00883507
380 2.58265 -2.58265  0.957035 0.00883507
390 2.58265 -2.58265  0.957035 0.00883507
400 2.58265 -2.58265  0.957035 0.00883507
410 2.58265 -2.58265  0.957035 0.00883507
420 2.58265 -2.58265  0.957035 0.00883507
430 2.58265 -2.58265  0.957035 0.00883507
440 2.58265 -2.58265  0.957035 0.00883507
450 2.58265 -2.58265  0.957035 0.00883507
460 2.58265 -2.58265  0.957035 0.00883507
470 2.58265 -2.58265  0.957035 0.00883507
480 2.58265 -2.58265  0.957035 0.00883507
490 2.58265 -2.58265  0.957035 0.00883507
500 2.58265 -2.58265  0.957035 0.00883507
10 2.85988 -2.85988  0.0633538 -0.419666
20 2.85988 -2.85988  0.0633538 -0.419666
30 0.0273546 -0.0273546  0.00426025 0.00783946
40 0.0273546 -0.0273546  0.00426025 0.00783946
50 0.00607521 -0.00607521  0.0015463 -0.00142998
60 0.00100844 -0.00100844  0.000333813 -0.000121827
70 0.00100844 -0.00100844  0.000333813 -0.000121827
80 0.00100844 -0.00100844  0.000333813 -0.000121827
90 0.00100844 -0.00100844  0.000333813 -0.000121827
100 0.00100844 -0.00100844  0.000333813 -0.000121827
110 0.00100844 -0.00100844  0.000333813 -0.000121827
120 0.00100844 -0.00100844  0.000333813 -0.000121827
130 0.00100844 -0.00100844  0.000333813 -0.000121827
140 0.00100844 -0.00100844  0.000333813 -0.000121827
150 0.00100844 -0.00100844  0.000333813 -0.000121827
160 0.00100844 -0.00100844  0.000333813 -0.000121827
170 0.00100844 -0.00100844  0.000333813 -0.000121827
180 0.00100844 -0.00100844  0.000333813 -0.000121827
190 0.00100844 -0.00100844  0.000333813 -0.000121827
200 0.00100844 -0.00100844  0.000333813 -0.000121827
210 0.00100844 -0.00100844  0.000333813 -0.000121827
220 0.00100844 -0.00100844  0.000333813 -0.000121827
230 0.00100844 -0.00100844  0.000333813 -0.000121827
240 0.00100844 -0.00100844  0.000333813 -0.000121827
250 0.00100844 -0.00100844  0.000333813 -0.000121827
260 0.00100844 -0.00100844  0.000333813 -0.000121827
270 0.00100844 -0.00100844  0.000333813 -0.000121827
280 0.00100844 -0.00100844  0.000333813 -0.000121827
290 0.00100844 -0.00100844  0.000333813 -0.000121827
300 0.00100844 -0.00100844  0.000333813 -0.000121827
310 0.00100844 -0.00100844  0.000333813 -0.000121827
320 0.00100844 -0.00100844  0.000333813 -0.000121827
330 0.00100844 -0.00100844  0.000333813 -0.000121827
340 0.00100844 -0.00100844  0.000333813 -0.000121827
350 0.00100844 -0.00100844  0.000333813 -0.000121827
360 0.00100844 -0.00100844  0.000333813 -0.000121827
370 0.00100844 -0.00100844  0.000333813 -0.000121827
380 0.00100844 -0.00100844  0.000333813 -0.000121827
390 0.00100844 -0.00100844  0.000333813 -0.000121827
400 0.00100844 -0.00100844  0.000333813 -0.000121827
410 0.00100844 -0.00100844  0.000333813 -0.000121827
420 0.00100844 -0.00100844  0.000333813 -0.000121827
430 0.00100844 -0.00100844  0.000333813 -0.000121827
440 0.00100844 -0.00100844  0.000333813 -0.000121827
450 0.00100844 -0.00100844  0.000333813 -0.000121827
460 0.00100844 -0.00100844  0.000333813 -0.000121827
470 0.00100844 -0.00100844  0.000333813 -0.000121827
480 0.00100844 -0.00100844  0.000333813 -0.000121827
490 0.00100844 -0.00100844  0.000333813 -0.000121827
500 0.00100844 -0.00100844  0.000333813 -0.000121827
10 6.16819 -6.16819  -0.243522 2.05735
20 2.02472 -2.02472  0.0955665 0.260286
30 2.02472 -2.02472  0.0955665 0.260286
40 1.67488 -1.67488  0.112734 0.203183
50 1.67488 -1.67488  0.112734 0.203183
60 0.667435 -0.667435  0.117702 0.0112199
70 0.667435 -0.667435  0.117702 0.0112199
80 0.571788 -0.571788  0.0967944 0.0419416
90 0.532881 -0.532881  0.0994684 0.0147794
100 0.523433 -0.523433  0.0971967 0.0200329
110 0.523433 -0.523433  0.0971967 0.0200329
120 0.523433 -0.523433  0.0971967 0.0200329
130 0.523433 -0.523433  0.0971967 0.0200329
140 0.523433 -0.523433  0.0971967 0.0200329
150 0.523433 -0.523433  0.0971967 0.0200329
160 0.523433 -0.523433  0.0971967 0.0200329
170 0.443574 -0.443574  0.0878892 -0.00669189
180 0.443574 -0.443574  0.0878892 -0.00669189
190 0.443574 -0.443574  0.0878892 -0.00669189
200 0.443574 -0.443574  0.0878892 -0.00669189
210 0.106548 -0.106548  0.0271706 0.011539
220 0.0609809 -0.0609809  0.00790213 0.0166006
230 0.0609809 -0.0609809  0.00790213 0.0166006
240 0.0609809 -0.0609809  0.00790213 0.0166006
250 0.0609809 -0.0609809  0.00790213 0.0166006
260 0.0609809 -0.0609809  0.00790213 0.0166006
270 0.0609809 -0.0609809  0.00790213 0.0166006
280 0.0609809 -0.0609809  0.00790213 0.0166006
290 0.0609809 -0.0609809  0.00790213 0.0166006
300 0.0609809 -0.0609809  0.00790213 0.0166006
310 0.0609809 -0.0609809  0.00790213 0.0166006
320 0.0609809 -0.0609809  0.00790213 0.0166006
330 0.0609809 -0.0609809  0.00790213 0.0166006
340 0.0609809 -0.0609809  0.00790213 0.0166006
350 0.0609809 -0.0609809  0.00790213 0.0166006
360 0.0609809 -0.0609809  0.00790213 0.0166006
370 0.0609809 -0.0609809  0.00790213 0.0166006
380 0.0609809 -0.0609809  0.00790213 0.0166006
390 0.0609809 -0.0609809  0.00790213 0.0166006
400 0.0609809 -0.0609809  0.00790213 0.0166006
410 0.0609809 -0.0609809  0.00790213 0.0166006
420 0.0609809 -0.0609809  0.00790213 0.0166006
430 0.0609809 -0.0609809  0.00790213 0.0166006
440 0.0609809 -0.0609809  0.00790213 0.0166006
450 0.0609809 -0.0609809  0.00790213 0.0166006
460 0.0609809 -0.0609809  0.00790213 0.0166006
470 0.0609809 -0.0609809  0.00790213 0.0166006
480 0.0609809 -0.0609809  0.00790213 0.0166006
490 0.0609809 -0.0609809  0.00790213 0.0166006
500 0.0609809 -0.0609809  0.00790213 0.0166006
10 6.61876 -6.61876  0.644393 -1.68322
20 3.26357 -3.26357  -0.467331 0.159019
30 0.468583 -0.468583  0.0270472 0.087501
40 0.237776 -0.237776  -0.00504857 0.0554149
50 0.237776 -0.237776  -0.00504857 0.0554149
60 0.237776 -0.237776  -0.00504857 0.0554149
70 0.237776 -0.237776  -0.00504857 0.0554149
80 0.237776 -0.237776  -0.00504857 0.0554149
90 0.183894 -0.183894  0.0261906 0.0374045
100 0.183894 -0.183894  0.0261906 0.0374045
110 0.183894 -0.183894  0.0261906 0.0374045
120 0.183894 -0.183894  0.0261906 0.0374045
130 0.183894 -0.183894  0.0261906 0.0374045
140 0.183894 -0.183894  0.0261906 0.0374045
150 0.183894 -0.183894  0.0261906 0.0374045
160 0.183894 -0.183894  0.0261906 0.0374045
170 0.183894 -0.183894  0.0261906 0.0374045
180 0.183894 -0.183894  0.0261906 0.0374045
190 0.183894 -0.183894  0.0261906 0.0374045
200 0.183894 -0.183894  0.0261906 0.0374045
210 0.183894 -0.183894  0.0261906 0.0374045
220 0.183894 -0.183894  0.0261906 0.0374045
230 0.183894 -0.183894  0.0261906 0.0374045
240 0.183894 -0.183894  0.0261906 0.0374045
250 0.183894 -0.183894  0.0261906 0.0374045
260 0.183894 -0.183894  0.0261906 0.0374045
270 0.183894 -0.183894  0.0261906 0.0374045
280 0.183894 -0.183894  0.0261906 0.0374045
290 0.0684902 -0.0684902  -0.0182412 0.00898489
300 0.0289711 -0.0289711  0.00163056 0.00926748
310 0.0289711 -0.0289711  0.00163056 0.00926748
320 0.0289711 -0.0289711  0.00163056 0.00926748
330 0.0289711 -0.0289711  0.00163056 0.00926748
340 0.0289711 -0.0289711  0.00163056 0.00926748
350 0.0289711 -0.0289711  0.00163056 0.00926748
360 0.0289711 -0.0289711  0.00163056 0.00926748
370 0.0289711 -0.0289711  0.00163056 0.00926748
380 0.0289711 -0.0289711  0.00163056 0.00926748
390 0.0289711 -0.0289711  0.00163056 0.00926748
400 0.0289711 -0.0289711  0.00163056 0.00926748
410 0.0289711 -0.0289711  0.00163056 0.00926748
420 0.0289711 -0.0289711  0.00163056 0.00926748
430 0.0289711 -0.0289711  0.00163056 0.00926748
440 0.0289711 -0.0289711  0.00163056 0.00926748
450 0.0289711 -0.0289711  0.00163056 0.00926748
460 0.0289711 -0.0289711  0.00163056 0.00926748
470 0.0289711 -0.0289711  0.00163056 0.00926748
480 0.0289711 -0.0289711  0.00163056 0.00926748
490 0.0289711 -0.0289711  0.00163056 0.00926748
500 0.0289711 -0.0289711  0.00163056 0.00926748
10 8.10036 -8.10036  0.292971 -2.46423
20 2.37429 -2.37429  -0.238881 0.200463
30 1.80944 -1.80944  -0.170594 -0.175889
40 1.19002 -1.19002  0.0861921 0.156209
50 0.983369 -0.983369  0.0684212 0.139468
60 0.983369 -0.983369  0.0684212 0.139468
70 0.983369 -0.983369  0.0684212 0.139468
80 0.502887 -0.502887  0.0962759 0.00646468
90 0.502887 -0.502887  0.0962759 0.00646468
100 0.172559 -0.172559  0.0293524 0.0320406
110 0.161937 -0.161937  0.0260086 0.0321379
120 0.157457 -0.157457  0.0243345 0.0322999
130 0.157457 -0.157457  0.0243345 0.0322999
140 0.157457 -0.157457  0.0243345 0.0322999
150 0.157457 -0.157457  0.0243345 0.0322999
160 0.157457 -0.157457  0.0243345 0.0322999
170 0.157457 -0.157457  0.0243345 0.0322999
180 0.157457 -0.157457  0.0243345 0.0322999
190 0.157457 -0.157457  0.0243345 0.0322999
200 0.157457 -0.157457  0.0243345 0.0322999
210 0.157457 -0.157457  0.0243345 0.0322999
220 0.157457 -0.157457  0.0243345 0.0322999
230 0.157457 -0.157457  0.0243345 0.0322999
240 0.157457 -0.157457  0.0243345 0.0322999
250 0.157457 -0.157457  0.0243345 0.0322999
260 0.157457 -0.157457  0.0243345 0.0322999
270 0.157457 -0.157457  0.0243345 0.0322999
280 0.157457 -0.157457  0.0243345 0.0322999
290 0.157457 -0.157457  0.0243345 0.0322999
300 0.157457 -0.157457  0.0243345 0.0322999
310 0.157457 -0.157457  0.0243345 0.0322999
320 0.157457 -0.157457  0.0243345 0.0322999
330 0.157457 -0.157457  0.0243345 0.0322999
340 0.157457 -0.157457  0.0243345 0.0322999
350 0.157457 -0.157457  0.0243345 0.0322999
360 0.157457 -0.157457  0.0243345 0.0322999
370 0.157457 -0.157457  0.0243345 0.0322999
380 0.157457 -0.157457  0.0243345 0.0322999
390 0.157457 -0.157457  0.0243345 0.0322999
400 0.157457 -0.157457  0.0243345 0.0322999
410 0.157457 -0.157457  0.0243345 0.0322999
420 0.157457 -0.157457  0.0243345 0.0322999
430 0.00889846 -0.00889846  -0.00305801 1.46563e-05
440 0.00522992 -0.00522992  -0.0015575 -0.000937607
450 0.00522992 -0.00522992  -0.0015575 -0.000937607
460 0.00522992 -0.00522992  -0.0015575 -0.000937607
470 0.00522992 -0.00522992  -0.0015575 -0.000937607
480 0.00522992 -0.00522992  -0.0015575 -0.000937607
490 0.00522992 -0.00522992  -0.0015575 -0.000937607
